case,twist,youngs_modulus,base_radius,density,coner_angle,length,scenario,tgt_dir
1,0.0,0.003605,2.43,1.23e-06,0.0,162.32,baseline,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.23e-06,0.0,162.32,twist_-10,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.23e-06,0.0,162.32,twist_-5,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.23e-06,0.0,162.32,twist_5,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.23e-06,0.0,162.32,twist_10,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.0032445,2.43,1.23e-06,0.0,162.32,youngs_modulus_-10,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.00342475,2.43,1.23e-06,0.0,162.32,youngs_modulus_-5,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.0037852500000000004,2.43,1.23e-06,0.0,162.32,youngs_modulus_5,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.0039655,2.43,1.23e-06,0.0,162.32,youngs_modulus_10,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.1870000000000003,1.23e-06,0.0,162.32,base_radius_-10,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.3085,1.23e-06,0.0,162.32,base_radius_-5,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.5515000000000003,1.23e-06,0.0,162.32,base_radius_5,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.6730000000000005,1.23e-06,0.0,162.32,base_radius_10,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.1070000000000002e-06,0.0,162.32,density_-10,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.1685000000000001e-06,0.0,162.32,density_-5,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.2915e-06,0.0,162.32,density_5,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.3530000000000002e-06,0.0,162.32,density_10,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.23e-06,0.0,162.32,coner_angle_-10,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.23e-06,0.0,162.32,coner_angle_-5,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.23e-06,0.0,162.32,coner_angle_5,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.23e-06,0.0,162.32,coner_angle_10,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
1,0.0,0.003605,2.43,1.23e-06,0.0,146.088,length_-10,"[[np.float64(-0.6760472895516252) np.float64(0.0)
  np.float64(-0.7368582375802697)]
 [np.float64(-0.6821010197359139) np.float64(0.37828725261395135)
  np.float64(0.6258090390726353)]
 [np.float64(0.2787440782601984) np.float64(0.9256882598962723)
  np.float64(-0.2557400718015927)]]"
